Date,Open,High,Low,Close,Volume
2025-07-01 15:30:00,9.45,9.5,9.31,9.35,480589
2025-07-01 15:00:00,9.65,9.65,9.44,9.44,354214
2025-07-01 14:30:00,9.68,9.81,9.64,9.64,214568
2025-07-01 14:00:00,9.65,9.69,9.61,9.68,141068
2025-07-01 13:30:00,9.74,9.74,9.62,9.65,137024
2025-07-01 13:00:00,9.62,9.74,9.55,9.74,286016
2025-07-01 12:30:00,9.58,9.68,9.57,9.61,259810
2025-07-01 12:00:00,9.67,9.68,9.53,9.53,491207
2025-07-01 11:30:00,9.56,9.71,9.55,9.65,308259
2025-07-01 11:00:00,9.57,9.58,9.38,9.54,427260
2025-07-01 10:30:00,9.72,9.73,9.46,9.52,603506
2025-07-01 10:00:00,9.79,10.06,9.68,9.75,742017
2025-07-01 09:30:00,9.97,10.36,9.66,9.75,2365358
2025-06-30 15:30:00,9.87,10.09,9.84,9.91,549686
2025-06-30 15:00:00,9.78,10.13,9.78,9.9,696026
2025-06-30 14:30:00,9.76,9.77,9.64,9.77,264970
2025-06-30 14:00:00,9.71,9.99,9.68,9.77,500282
2025-06-30 13:30:00,9.56,9.75,9.52,9.73,318260
2025-06-30 13:00:00,9.55,9.61,9.5,9.55,207179
2025-06-30 12:30:00,9.61,9.64,9.46,9.53,287514
2025-06-30 12:00:00,9.3,9.99,9.26,9.62,951208
2025-06-30 11:30:00,9.32,9.46,9.28,9.3,335194
2025-06-30 11:00:00,9.41,9.45,9.25,9.32,411267
2025-06-30 10:30:00,9.27,9.65,9.24,9.4,804983
2025-06-30 10:00:00,9.16,9.39,9.13,9.24,474262
2025-06-30 09:30:00,9.66,9.73,9.07,9.13,2498294
2025-06-27 15:30:00,9.45,9.48,9.33,9.33,547618
2025-06-27 15:00:00,9.38,9.45,9.37,9.45,176199
2025-06-27 14:30:00,9.39,9.49,9.32,9.36,537183
2025-06-27 14:00:00,9.47,9.47,9.38,9.38,256013
2025-06-27 13:30:00,9.49,9.51,9.44,9.47,238575
2025-06-27 13:00:00,9.56,9.57,9.47,9.48,141700
2025-06-27 12:30:00,9.51,9.58,9.5,9.55,247436
2025-06-27 12:00:00,9.54,9.62,9.5,9.51,402976
2025-06-27 11:30:00,9.53,9.57,9.38,9.54,965686
2025-06-27 11:00:00,9.43,9.52,9.43,9.52,295828
2025-06-27 10:30:00,9.52,9.55,9.42,9.43,512322
2025-06-27 10:00:00,9.62,9.77,9.48,9.52,1127404
2025-06-27 09:30:00,9.81,9.82,9.37,9.63,1849227
2025-06-26 15:30:00,10.03,10.1,9.92,10.08,395240
2025-06-26 15:00:00,9.91,10.01,9.9,10.01,167568
2025-06-26 14:30:00,9.92,9.94,9.85,9.91,270101
2025-06-26 14:00:00,9.89,9.92,9.84,9.91,165302
2025-06-26 13:30:00,9.9,9.92,9.79,9.9,294605
2025-06-26 13:00:00,9.94,10.05,9.89,9.89,261035
2025-06-26 12:30:00,10,10.1,9.9,9.92,374222
2025-06-26 12:00:00,9.86,10.04,9.85,10.02,406247
2025-06-26 11:30:00,9.79,9.9,9.79,9.85,321871
2025-06-26 11:00:00,9.95,9.96,9.78,9.78,372325
2025-06-26 10:30:00,9.82,10.05,9.78,9.94,715307
2025-06-26 10:00:00,9.75,9.9,9.71,9.82,741008
2025-06-26 09:30:00,10.5,10.51,9.72,9.75,2538164
2025-06-25 15:30:00,10.25,10.45,10.24,10.25,665533
2025-06-25 15:00:00,10.38,10.45,10.11,10.24,546825
2025-06-25 14:30:00,10.17,10.49,10.13,10.41,1165614
2025-06-25 14:00:00,11.23,11.3,10.02,10.18,2797662
2025-06-25 13:30:00,10.31,12.03,10.31,11.21,6225050
2025-06-25 13:00:00,10.08,10.32,10.04,10.32,433820
2025-06-25 12:30:00,9.99,10.1,9.99,10.07,359904
2025-06-25 12:00:00,9.79,10.06,9.79,9.97,424658
2025-06-25 11:30:00,9.8,9.85,9.7,9.77,249564
2025-06-25 11:00:00,9.81,10,9.69,9.78,510032
2025-06-25 10:30:00,10.03,10.03,9.5,9.79,1018781
2025-06-25 10:00:00,10.18,10.19,9.66,10.03,1351902
2025-06-25 09:30:00,10.17,10.4,9.99,10.16,2065891
2025-06-24 15:30:00,9.84,9.85,9.65,9.65,518202
2025-06-24 15:00:00,9.89,10.01,9.68,9.85,480046
2025-06-24 14:30:00,9.92,10.15,9.81,9.83,532263
2025-06-24 14:00:00,9.61,9.96,9.61,9.93,366789
2025-06-24 13:30:00,9.55,9.66,9.53,9.61,199878
2025-06-24 13:00:00,9.77,9.83,9.53,9.56,412204
2025-06-24 12:30:00,9.69,9.79,9.6,9.77,354915
2025-06-24 12:00:00,9.56,9.71,9.52,9.71,449588
2025-06-24 11:30:00,9.5,9.6,9.48,9.54,246244
2025-06-24 11:00:00,9.49,9.66,9.49,9.51,388640
2025-06-24 10:30:00,9.67,9.88,9.46,9.48,939563
2025-06-24 10:00:00,9.78,10.45,9.65,9.68,1473997
2025-06-24 09:30:00,9.9,10.59,9.61,9.75,3924646
2025-06-23 15:30:00,9.14,9.17,8.97,8.99,766768
2025-06-23 15:00:00,9.19,9.24,9.05,9.07,354629
2025-06-23 14:30:00,9.15,9.36,9.13,9.18,469535
2025-06-23 14:00:00,9.15,9.25,9.09,9.14,366651
2025-06-23 13:30:00,9.16,9.37,9.11,9.15,472544
2025-06-23 13:00:00,8.8,9.24,8.8,9.19,522474
2025-06-23 12:30:00,8.82,8.92,8.7,8.79,763230
2025-06-23 12:00:00,8.95,9,8.8,8.83,707997
2025-06-23 11:30:00,9.14,9.15,8.86,8.94,1007767
2025-06-23 11:00:00,9.11,9.28,9.1,9.16,583313
2025-06-23 10:30:00,9.36,9.43,8.96,9.09,1791188
2025-06-23 10:00:00,9.93,10.1,9.36,9.37,1070607
2025-06-23 09:30:00,9.79,10.1,9.27,9.92,2829369
2025-06-20 15:30:00,9.86,9.99,9.72,9.83,602231
2025-06-20 15:00:00,9.86,10.02,9.83,9.84,372227
2025-06-20 14:30:00,9.73,9.92,9.67,9.86,461207
2025-06-20 14:00:00,9.69,9.78,9.53,9.73,632265
2025-06-20 13:30:00,9.88,9.89,9.64,9.69,768965
2025-06-20 13:00:00,9.76,9.97,9.76,9.88,439155
2025-06-20 12:30:00,9.83,9.96,9.72,9.78,509973
